task,split,experiment,examples,mean_confidence,mean_confidence_correct,mean_confidence_wrong,mean_entropy,ece_10_bins
task1,test,deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755,308,0.8803318204817834,0.8903706739045153,0.8622618843208659,0.3293061082606914,0.23747467762464047
task1,test,bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604,308,0.8990682491234371,0.9126203872409522,0.8724852089698498,0.2836604983271186,0.24324409025056018
task1,dev,bert_base_task1_bert_base_uncased_task1_seed42_20260622_162604,690,0.9025900468014288,0.918588286398777,0.8729734710179085,0.27519017740772567,0.25661113948925685
task2,test,deberta_v3_base_task2_weighted_microsoft_deberta_v3_base_task2_seed42_20260622_163854,275,0.39718293471769855,0.4654374946369214,0.36452349475634993,1.5409935021647483,0.07782406741922553
task2,dev,deberta_v3_base_task2_weighted_microsoft_deberta_v3_base_task2_seed42_20260622_163854,690,0.45587929197843524,0.539690735222269,0.4042577238914838,1.4307752846818316,0.09085487848606665
task2,dev,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,690,0.6660928890972898,0.7556309133120205,0.5877471179094004,0.922157874313151,0.20265944826862087
task2,dev,deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254,690,0.6253671763815741,0.7198530824848525,0.5572713487909322,1.0917858716942535,0.20895507592653884
task2,test,bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604,275,0.5401290585236116,0.6046759886874093,0.508727849254737,1.2748028584597138,0.21285633125088427
task2,dev,bert_base_task2_bert_base_uncased_task2_seed42_20260622_162604,690,0.6213054136953492,0.7023131966590881,0.565983025329869,1.1122854551764754,0.21550831224607386
task2,test,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,275,0.6432943695241755,0.7298465298569721,0.5810850042849779,0.9964655440854374,0.2251125513423573
task2,dev,deberta_v3_base_task2_politician_answer_microsoft_deberta_v3_base_task2_seed42_20260622_164525,690,0.6829712769691495,0.7602263250829357,0.6221279230142505,0.9537565461831079,0.24979017078876495
task2,test,deberta_v3_base_task2_microsoft_deberta_v3_base_task2_seed42_20260622_163254,275,0.6083328947153959,0.6959216545537575,0.5606019413203336,1.1307703256346104,0.2556056219881231
task2,dev,roberta_large_task2_roberta_large_task2_seed42_20260622_162603,690,0.7268461196318917,0.8113459978653834,0.6516065020267278,0.8091506327238791,0.2558316268782685
task2,test,deberta_v3_base_task2_politician_answer_microsoft_deberta_v3_base_task2_seed42_20260622_164525,275,0.6712277961861004,0.7460792347512863,0.6228208778325669,0.9864205153657031,0.28676169395446777
task2,test,roberta_large_task2_roberta_large_task2_seed42_20260622_162603,275,0.680947223143144,0.748138087215247,0.6374944487731614,0.8999400066749821,0.2989872910759666
task2,test,deberta_v3_large_task2_microsoft_deberta_v3_large_task2_seed42_20260622_164114,275,0.7678183707865802,0.8209257819529238,0.7290733412564175,0.6819238605696882,0.34600018896839835
task2,dev,deberta_v3_large_task2_microsoft_deberta_v3_large_task2_seed42_20260622_164114,690,0.8069887166005978,0.8709694685345908,0.7580622592393089,0.5991321951608127,0.37506376725176105
task2,dev,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826,690,0.7998649723503901,0.8709301716631109,0.7527735752154545,0.6211369640819119,0.4020361875062403
task2,test,deberta_xlarge_task2_microsoft_deberta_xlarge_task2_seed42_20260622_164826,275,0.8085879877480594,0.8655063398859718,0.7706424196561178,0.5985125283577513,0.4085879877480593
