task,split,system_a,system_b,shared_examples,macro_f1_delta_a_minus_b,ci_low,ci_high
task1,test,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216,308,0.01789122810337748,-0.04863588343560287,0.0855148155203379
task1,test,deberta_v3_base_multitask_microsoft_deberta_v3_base_multitask_seed42_20260622_164926,roberta_large_task1_roberta_large_task1_seed42_20260622_162604,308,0.0010207616106902649,-0.07362136396416126,0.07173066080970261
task1,test,deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154,deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425,308,0.007908597937306775,-0.0540877775162746,0.07336704691614536
task1,test,deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154,deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755,308,-0.02799489193072356,-0.08237903413794052,0.03103733478309766
task1,test,deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154,deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603,308,-0.06284069422252993,-0.1400278101866159,0.010521620986333547
task1,test,deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154,deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216,308,-0.039377027255107576,-0.11331357184512883,0.03751936344686496
task1,test,deberta_v3_base_task1_microsoft_deberta_v3_base_task1_seed42_20260622_163154,roberta_large_task1_roberta_large_task1_seed42_20260622_162604,308,-0.056247493747794794,-0.1192144581247602,0.007824499822876757
task1,test,deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425,deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755,308,-0.03590348986803033,-0.10375292689917741,0.040130975012399234
task1,test,deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425,deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603,308,-0.0707492921598367,-0.14374943113421404,0.004136102993795033
task1,test,deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425,deberta_xlarge_task1_microsoft_deberta_xlarge_task1_seed42_20260622_164216,308,-0.04728562519241436,-0.11513775632745928,0.01430977057894075
task1,test,deberta_v3_base_task1_politician_answer_microsoft_deberta_v3_base_task1_seed42_20260622_164425,roberta_large_task1_roberta_large_task1_seed42_20260622_162604,308,-0.06415609168510157,-0.13311548029837608,0.020980431193387734
task1,test,deberta_v3_base_task1_weighted_microsoft_deberta_v3_base_task1_seed42_20260622_163755,deberta_v3_large_task1_microsoft_deberta_v3_large_task1_seed42_20260622_162603,308,-0.03484580229180638,-0.1210102453101179,0.04889628162814172
